changeDate,recordId,slug,field,before,after,reason,changedBy
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,region,Latin America,Other,Mapped non-core region into approved taxonomy.,normalize-project-records.ts
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0002,german-grid-expansion,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0002,german-grid-expansion,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0003,sakarya-gas-field-phase-3-offshore-development,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0003,sakarya-gas-field-phase-3-offshore-development,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0004,1-250-gwh-of-renewable-electricity-in-italy,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0004,1-250-gwh-of-renewable-electricity-in-italy,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0005,wagerup-bess,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0005,wagerup-bess,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0006,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0006,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0007,omvs-140-mw-green-hydrogen-plant,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0007,omvs-140-mw-green-hydrogen-plant,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0008,richmond-valley-solar-bess-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0008,richmond-valley-solar-bess-project,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0009,montreal-port-expansion-in-water-works,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
